Category,Name,Address,Suburb,State,Postcode,Phone,Fax,Email,Website,Staff,Established,ABN,ABN_Status,ABN_Type,ABN_Accuracy
Religious Organisations,Aboriginal Evangelical Fellowship,16 Highclere Blv,Marangaroo,WA,6064,(08) 9342 7243,,,,,,14 719 010 013,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Adelaide College of Ministries Incorporated,20A Fourth Ave,Klemzig,SA,5087,(08) 8369 1414,,,,,,81 588 746 059,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Anglican Institute Of Theology,Wollaston Education Centre Wollaston Rd,Mt Claremont,WA,6010,(08) 9286 0270,,,,,,59 962 540 635,Active,Other Name,25% ABN Accuracy
Religious Organisations,AngliCORD,Trinity Hall 16 Trinity Pl,East Melbourne,VIC,3002,(03) 9495 6100,,,,,,39 116 072 050,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Archbishop Mannix Missionary College,Ventnor St,Oakleigh,VIC,3166,(03) 9569 0707,,,,,,43 206 946 086,Active,DGR Name,25% ABN Accuracy
Religious Organisations,Australia for Christ Fellowship,1070 Stud Rd,Rowville,VIC,3178,(03) 9764 8330,(03) 9764 8011,info@acfchurch.com,www.acfchurch.com,,1986,32 006 659 356,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Australian Evangelical Alliance Inc.,44 Rutland Rd,Box Hill,VIC,3128,(03) 9890 0633,,,,,,54 056 007 820,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Australian Province of The Society of Jesus,130 Power St,Hawthorn,VIC,3122,(03) 9810 7300,,,,,,19 179 772 790,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Belgrave Heights Convention Centre Office,3 Convention Ave,Belgrave Heights,VIC,3160,(03) 9752 6855,,,,,,87 004 352 685,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Belgrave Heights Convention Lodge,23 Lockwood Rd,Belgrave Heights,VIC,3160,(03) 9754 2220,,,,,,87 004 352 685,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bethel Life Centre,111 George Way,Cannington,WA,6107,(08) 9350 6443,,,,,,35 504 275 391,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Bible Translators,70 Graham Rd,Kangaroo Ground,VIC,3097,1300 362 025,,,http://www.wycliffe.org.au,,,22 004 705 953,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Blessed Sacrament Fathers,326 Lonsdale St,Melbourne,VIC,3000,(03) 9639 2887,,,,,,74 052 548 400,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bright Moon Buddhist Society,536 Springvale Rd,Springvale,VIC,3171,(03) 9558 5487,,,,,,88 245 919 930,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Meditation Centre,12 Horwood St,Whyalla,SA,5600,(08) 8645 4620,,,,,,19 727 954 271,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Society Of Victoria,71 Darling Rd,Malvern East,VIC,3145,(03) 9571 6409,,,,,,89 738 755 249,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Society Of Western Australia (Inc),18 Nanson Way,Nollamara,WA,6061,(08) 9345 1711,,,,,,22 382 478 365,Active,Entity Name,25% ABN Accuracy
